YEAR,SERIAL,MONTH,HWTFINL,CPSID,ASECFLAG,HFLAG,ASECWTH,PERNUM,WTFINL,CPSIDV,CPSIDP,ASECWT,AGE,POPSTAT,EMPSTAT,LABFORCE
1994,1,3,,19940302415800,1,,878.58,1,,199403024158011,19940302415801,878.58,76,1,30,1
1994,1,3,,19940302415800,1,,878.58,2,,199403024158021,19940302415802,878.58,70,1,30,1
1994,2,3,,19940302415700,1,,841.89,1,,199403024157011,19940302415701,841.89,41,1,30,1
1994,3,3,,19940302415600,1,,878.58,1,,199403024156011,19940302415601,878.58,71,1,30,1
1994,3,3,,19940302415600,1,,878.58,2,,199403024156021,19940302415602,878.58,71,1,30,1
1994,4,3,,19940302415500,1,,838.36,1,,199403024155011,19940302415501,838.36,40,1,10,2
1994,4,3,,19940302415500,1,,838.36,2,,199403024155021,19940302415502,838.36,44,1,10,2
1994,4,3,,19940302415500,1,,838.36,3,,199403024155031,19940302415503,1043.34,21,1,21,2
1994,4,3,,19940302415500,1,,838.36,4,,199403024155041,19940302415504,884.61,17,1,10,2
1994,4,3,,19940302415500,1,,838.36,5,,199403024155051,19940302415505,827.13,2,3,0,0
1994,5,3,,19940302415400,1,,566.21,1,,199403024154011,19940302415401,566.21,51,1,10,2
1994,5,3,,19940302415400,1,,566.21,2,,199403024154021,19940302415402,566.21,41,1,30,1
1994,5,3,,19940302415400,1,,566.21,3,,199403024154031,19940302415403,566.21,16,1,30,1
1994,5,3,,19940302415400,1,,566.21,4,,199403024154041,19940302415404,578.82,13,3,0,0
1994,5,3,,19940302415400,1,,566.21,5,,199403024154051,19940302415405,578.82,9,3,0,0
1994,6,3,,19940302415300,1,,959.87,1,,199403024153011,19940302415301,959.87,28,1,10,2
1994,6,3,,19940302415300,1,,959.87,2,,199403024153021,19940302415302,893.33,26,1,10,2
1994,7,3,,19940302415200,1,,838.36,1,,199403024152011,19940302415201,838.36,44,1,10,2
1994,8,3,,19940302415100,1,,866.76,1,,199403024151011,19940302415101,866.76,81,1,30,1
1994,8,3,,19940302415100,1,,866.76,2,,199403024151021,19940302415102,866.76,77,1,30,1
1994,9,3,,19940302415000,1,,902.12,1,,199403024150011,19940302415001,902.12,45,1,10,2
